State,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/01/20,4/02/20,4/03/20,4/04/20,4/05/20,4/06/20,4/07/20,4/08/20,4/09/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/01/20,5/02/20,5/03/20,5/04/20,5/05/20,5/06/20,5/07/20,5/08/20,5/09/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/01/20,6/02/20,6/03/20,6/04/20,6/05/20,6/06/20,6/07/20,6/08/20,6/09/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/01/20,7/02/20,7/03/20,7/04/20,7/05/20,7/06/20,7/07/20,7/08/20,7/09/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/01/20,8/02/20,8/03/20,8/04/20,8/05/20,8/06/20,8/07/20,8/08/20,8/09/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/01/20,9/02/20,9/03/20,9/04/20,9/05/20,9/06/20,9/07/20,9/08/20,9/09/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/01/20,10/02/20,10/03/20,10/04/20,10/05/20,10/06/20,10/07/20,10/08/20,10/09/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/01/20,11/02/20,11/03/20,11/04/20,11/05/20
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,29,39,46,78,83,131,157,196,242,381,517,587,694,825,899,987,1060,1233,1495,1614,1765,1952,2169,2328,2703,2947,3217,3563,3734,3953,4075,4345,4571,4712,4888,5079,5317,5593,5832,6026,6026,6421,6539,6750,6912,7088,7294,7611,7888,8112,8437,8691,9046,9385,9668,9889,10164,10464,10700,11101,11373,11674,11771,12086,12376,13052,13288,13670,14117,14478,14986,15650,16032,16530,17031,17359,17952,18630,18766,18851,19072,19387,20043,20500,20925,21422,21989,22845,23710,24601,25615,26272,26912,27312,28206,29002,29549,30021,30454,31097,32064,33206,34183,35083,35441,37175,38045,38962,40111,41865,42862,43953,44878,45785,46962,49174,50508,51947,53587,55545,57255,59067,61088,63091,65234,67011,68891,70358,71813,74212,76005,78130,79294,81115,82366,83782,85762,87723,89349,91444,92661,93702,94654,96592,98301,100173,101334,103020,103851,104786,105557,106309,107580,108433,109004,110361,111478,112449,113632,114532,115060,116710,117242,119254,121023,122185,123889,125235,126058,127616,128239,129285,130393,131803,132314,132973,133606,134417,135565,136703,137646,138755,139459,140160,141087,141757,142863,144164,144962,145780,146584,147153,148206,150658,151591,152321,152983,153554,154701,155744,156698,158380,159169,159713,160477,161418,161975,163465,164526,165342,166076,167193,167977,169162,170374,171662,172626,173485,174528,175674,177064,180916,183276,184355,185322,186437,187706,189149,190496,192285,193985,194892,195929,197777,199158
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,9,12,15,20,30,34,41,56,58,85,102,114,119,132,143,157,171,185,190,213,226,235,246,257,272,277,285,293,300,309,314,319,321,329,335,337,339,339,340,345,351,355,355,364,365,368,370,371,372,374,377,378,379,379,383,383,383,388,388,388,388,400,401,401,403,407,407,408,410,411,424,429,433,459,466,486,504,512,523,535,543,562,572,592,609,624,653,660,663,675,695,707,720,741,752,758,760,789,813,833,851,880,901,937,975,1014,1060,1107,1134,1162,1180,1222,1268,1323,1385,1479,1539,1579,1631,1693,1734,1796,1875,1950,2042,2131,2193,2249,2339,2525,2623,2730,2798,2879,2990,3136,3280,3341,3394,3448,3483,3536,3613,3711,3774,3819,3879,3963,4073,4156,4259,4309,4371,4438,4520,4588,4677,4741,4810,4843,4895,4974,5092,5182,5226,5263,5297,5362,5464,5584,5677,5760,5793,5828,5891,6012,6104,6207,6268,6343,6384,6432,6537,6644,6729,6822,6892,6936,7004,7132,7254,7367,7481,7597,7722,7824,7948,8073,8217,8405,8613,8752,8878,9005,9182,9431,9686,9877,10028,10170,10323,10549,10760,10980,11182,11391,11602,11835,12113,12485,13008,13356,14798,15155,15522,15908,16355,16705,17057,17448,17860,18174
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6,9,9,9,12,13,18,20,27,45,78,118,152,235,326,401,508,665,773,919,1157,1289,1530,1715,1937,2187,2486,2732,2870,3036,3018,3112,3393,3542,3705,3809,3964,4237,4511,4724,4933,5068,5256,5473,5772,6045,6286,6534,6725,6955,7209,7655,7969,8364,8640,8924,9305,9707,9945,10526,10960,11119,11383,11736,12216,12674,13169,13666,13945,14208,14576,14906,15348,15624,16053,16377,16575,16864,17318,17877,18472,19258,19936,20129,21264,22356,22886,24439,25451,26989,27678,28296,29852,31267,33039,34660,35706,36844,39185,40937,43445,46910,50127,52591,54599,58378,60190,63281,66659,70124,73920,74545,79228,84105,87445,91872,94567,98103,101455,105094,108614,112671,116892,119930,122467,123824,128097,131354,134613,138523,141265,143624,145183,148683,150609,152944,156301,160041,162014,163827,165934,168273,170798,174010,177002,178467,179497,180505,182203,183656,185053,186107,186923,187523,188737,189443,190794,191721,192654,193537,194005,194920,195557,196280,196899,197895,198103,198414,199273,199459,200139,200658,201287,201661,201835,202342,202861,203953,204681,205517,205767,205964,206045,206541,207002,207523,208128,208512,208725,209209,209907,211660,212942,213551,214021,214251,214846,215284,215852,216367,216826,217237,217510,218184,218507,219212,219763,220399,220754,221070,221934,222538,223401,224084,224978,225575,226050,226734,227635,228748,229486,230459,231149,231897,232937,233912,234906,235882,236772,238163,238964,240122,241165,242480,244045,245946,247473,248139,249818,250633,252768
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,12,16,22,22,33,62,96,122,165,192,219,280,335,381,409,426,473,523,584,643,704,743,837,875,946,1000,1119,1171,1228,1280,1410,1498,1569,1620,1695,1744,1781,1973,1990,2276,2599,2810,2911,3001,3069,3127,3193,3281,3337,3372,3437,3491,3525,3611,3703,3747,3747,4012,4043,4164,4236,4366,4463,4578,4759,4813,4923,5003,5458,5612,5775,5922,6029,6180,6277,6538,6777,7013,7253,7443,7818,8067,8425,8651,9101,9426,9740,10080,10368,10816,11547,12095,12501,12917,13191,13606,13928,14631,15142,15561,16083,16678,17375,18062,18740,19310,19818,20257,20777,21197,22075,22622,23209,23814,24253,24512,25246,26052,26803,27864,28367,28939,29812,30297,31114,31762,32533,33228,33927,34655,35246,36259,37249,37981,38623,39447,40181,40968,41759,42511,43173,43810,44597,45381,46293,47028,48039,48811,49383,50028,50411,51096,51766,52392,51992,52665,53077,53487,54216,54765,55652,56199,56574,56894,57374,58023,58745,59583,60378,60856,61224,61497,62112,63081,64175,64690,65377,65727,66021,66406,66804,67911,69710,70219,70627,71497,72219,73211,74082,75160,75723,76364,76981,77963,79049,79946,80755,81242,82049,82755,83697,84821,85779,86525,87013,87430,88071,88880,90145,91312,92220,92833,93487,94167,95246,96524,97539,98422,99066,99597,100441,101596,102798,104135,105318,106115,106727,107679,108640,109712,110874,112190,113057,113641,114519,115812,117360
California,0,0,0,0,2,2,2,2,2,3,3,3,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,10,11,11,12,12,21,25,35,51,59,81,95,101,144,177,221,282,340,426,557,698,751,952,1177,1364,1646,2108,2538,2998,3899,4657,5095,5852,7138,8210,9399,10773,12004,12837,15034,16019,17351,18897,19710,21081,21706,22795,23931,25356,26686,27677,29157,30491,31431,33686,35465,37344,39561,41355,42368,43558,44966,46164,48747,50130,52026,53347,54903,55884,58456,60616,62148,63779,66558,67600,69329,70978,72798,74871,76693,78725,80166,81457,83752,85997,88031,90252,92539,94020,96400,99387,101050,103813,106622,109895,111951,114733,117215,119348,122168,125738,128593,130615,133816,136641,139715,143377,146659,150018,152300,155726,158961,162798,167086,170862,175213,178546,184765,191477,195925,201112,206844,210584,215296,223646,231232,238681,246550,250514,252895,264681,271035,284012,292560,302484,310885,318761,324543,333357,346211,354885,364706,373259,380745,386906,397870,409305,421286,430773,440185,446452,452288,458121,470762,484913,492934,500556,506613,512175,516851,526685,530606,541339,546814,554388,559746,574231,578946,591376,597984,613101,617994,623873,629415,638140,647274,652267,658900,664435,669280,675561,681032,687004,691821,697385,702038,705951,712475,715617,721281,726018,730662,735314,738856,740965,744344,747290,750961,754905,758933,761728,765134,768204,771321,775037,779491,783313,786168,790096,793065,796436,799516,803660,807451,809890,812711,815654,819115,822205,826013,829521,832713,835507,838202,841928,845270,849076,852410,855190,857913,861310,865204,868148,871253,873614,875692,879645,883746,886939,893364,898799,903684,906596,910438,914888,919276,923648,928028,932143,935878,940411,945401,950920,956854
Colorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,7,15,34,45,49,101,131,160,160,184,277,363,390,591,704,723,1021,1430,1433,1740,2307,2311,2966,2982,3342,3742,4188,4950,5183,5429,5655,5655,6202,6513,7307,7691,7950,7956,8286,8691,9047,9730,9730,10473,10891,11278,12256,12968,13441,13879,14316,14758,15284,15793,16225,16635,16918,17367,17832,18370,18827,19375,19703,19879,20157,20475,20838,21232,21633,21938,22202,22482,22797,23191,23487,23964,24174,24269,24565,24767,25121,25612,26098,26378,26577,26788,27060,27360,27615,27848,28001,28183,28347,28499,28647,28822,29017,29130,29299,29442,29671,29901,30187,30348,30539,30705,30893,31155,31479,31796,32022,32307,32511,32715,33029,33352,33612,33866,34065,34257,34664,35116,35525,36191,36591,36913,37236,37686,38155,38726,39344,39788,40142,40566,41059,41698,42313,42980,43789,44336,44565,45314,45796,46204,46809,47267,47727,47968,48394,48988,49436,49893,50324,50660,51038,51441,51756,52219,52538,52838,53176,53370,53631,53901,54230,54230,54883,55143,55341,55800,55993,56343,56773,57040,57223,57424,57775,58019,58287,58287,58986,59271,59484,59671,59911,60175,60482,60896,61313,61687,62099,62686,63145,63750,64356,64857,65399,66053,66669,67217,67926,68510,69079,69490,70025,70536,71218,71898,72555,73076,73537,74191,74922,75785,76619,77642,78461,79037,80085,80777,81918,83230,84369,85302,86374,87582,88849,90222,91572,93400,95089,97300,98733,100208,102014,104426,107350,109910,112147,114709,117637,121006
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,11,22,24,30,68,68,159,194,194,327,415,618,875,1012,1291,1524,1993,2571,3128,3557,3824,4914,5276,5675,6906,7781,7781,9784,10538,11510,12035,13381,13989,14755,15884,16809,17550,17962,19815,20360,22469,23100,23936,24583,25269,25997,26312,26767,27700,28764,29287,29287,29973,30621,30995,31784,32411,32984,33554,33765,34333,34855,35464,36085,36703,37419,38116,38430,39017,39208,39640,40022,40468,40873,41303,41288,41559,41762,42022,42201,42740,42979,43091,43239,43460,43818,43968,44092,44179,44347,44461,44689,44994,45088,45235,45349,45429,45440,45557,45715,45755,45782,45899,45913,45994,46059,46206,46303,46362,46514,46572,46646,46717,46717,46717,46976,47033,47108,47209,47287,47287,47287,47510,47530,47636,47750,47893,47893,47893,48055,48096,48223,48232,48776,48776,48776,48983,49077,49540,49670,49810,49810,49810,50062,50110,50225,50245,50320,50320,50320,50567,50684,50706,50782,50897,50897,50897,51267,51255,51314,51432,51519,51519,51519,52011,52040,52220,52350,52495,52495,52495,52879,53006,53108,53209,53365,53365,53365,53365,53782,53871,54093,54326,54326,54326,54895,55031,55166,55386,55527,55527,55527,56024,56160,56315,56472,56587,56587,56587,57147,57329,57550,57742,58297,58297,58297,59120,59241,59364,59748,60038,60038,60038,61377,61697,61861,62028,62830,62830,62830,64021,64455,64871,65373,66052,66052,66052,68099,68637,69127,70446,71207,71207,71207,73858,74843,75373,77060
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,7,8,16,19,30,38,45,56,68,104,119,130,163,214,232,264,319,368,393,450,593,673,783,928,1116,1209,1326,1479,1625,1758,1926,2014,2070,2317,2538,2538,2745,2931,3200,3308,3442,3576,4034,4162,4575,4655,4734,4918,5038,5208,5288,5371,5778,5939,6111,6277,6277,6565,6741,6952,7223,7373,7547,7670,7869,8037,8194,8386,8529,8529,8809,8965,9066,9096,9171,9236,9422,9498,9605,9685,9712,9746,9773,9845,9942,9972,10020,10056,10106,10173,10229,10264,10340,10403,10444,10499,10611,10681,10775,10820,10847,10889,10980,11017,11091,11226,11376,11474,11510,11731,11923,11996,12128,12293,12414,12462,12531,12652,12743,12804,12879,12969,13050,13114,13337,13429,13519,13624,13746,13792,13924,14202,14175,14290,14406,14476,14602,14689,14788,14877,14949,15055,15137,15296,15365,15445,15502,15575,15634,15699,15765,15967,16340,16396,16451,16536,16593,16643,16718,16770,16828,16895,16942,16962,16986,16976,17083,17349,17343,17429,17535,17549,17653,17752,17892,18043,18249,18308,18308,18466,18559,18726,18849,18937,19137,19234,19318,19366,19449,19566,19667,19761,19830,19947,20085,20156,20260,20389,20531,20613,20787,20937,21125,21243,21363,21466,21550,21682,21827,21998,22130,22289,22394,22465,22560,22724,22942,23093,23196,23325,23375,23528,23687,23847,23961,24168,24249,24392,24553,24751,24951,25126,25311,25426,25534,25753
Diamond Princess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,42,42,44,44,44,45,45,45,45,45,45,45,45,46,46,46,46,46,46,47,47,47,47,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
